mnemonic,opcode,subsystem,criticality,description,fsw_min_version
CMD_PROP_BURN_EXEC_079,0x1B3E,PROP,NOMINAL,Execute commanded delta-v burn (variant 79),1.0
CMD_PROP_BURN_ABORT_079,0x1B3F,PROP,NOMINAL,Abort active propulsive maneuver (variant 79),1.0
CMD_EPS_PWR_ON_080,0x1B40,EPS,NOMINAL,Enable power channel in specified mode (variant 80),1.0
CMD_EPS_PWR_OFF_080,0x1B41,EPS,HAZARDOUS,Disable power channel (variant 80),1.0
CMD_EPS_BATT_TRICKLE_080,0x1B42,EPS,NOMINAL,Set battery trickle charge rate (variant 80),1.0
CMD_EPS_BATT_RESET_080,0x1B43,EPS,NOMINAL,Reset battery management controller (variant 80),1.0
CMD_EPS_SOLAR_DEPLOY_080,0x1B44,EPS,NOMINAL,Deploy solar array (variant 80),1.0
CMD_EPS_SOLAR_STOW_080,0x1B45,EPS,CRITICAL,Stow solar array (variant 80),1.0
CMD_ADCS_MODE_SET_080,0x1B46,ADCS,NOMINAL,Set ADCS control mode (variant 80),1.0
CMD_ADCS_MODE_SAFE_080,0x1B47,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 80),1.0
CMD_ADCS_RW_SPIN_080,0x1B48,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 80),1.0
CMD_ADCS_RW_STOP_080,0x1B49,ADCS,CRITICAL,Stop reaction wheel (variant 80),1.0
CMD_ADCS_MTQ_FIRE_080,0x1B4A,ADCS,NOMINAL,Fire magnetorquer along axis (variant 80),1.0
CMD_ADCS_STAR_TRACK_080,0x1B4B,ADCS,HAZARDOUS,Begin star tracker tracking (variant 80),1.0
CMD_ADCS_ATT_SLEW_080,0x1B4C,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 80),1.0
CMD_COMM_TX_ENABLE_080,0x1B4D,COMM,CRITICAL,Enable transmitter on band (variant 80),1.0
CMD_COMM_TX_DISABLE_080,0x1B4E,COMM,NOMINAL,Disable transmitter on band (variant 80),1.0
CMD_COMM_TX_POWER_080,0x1B4F,COMM,CRITICAL,Set transmitter output power (variant 80),1.0
CMD_COMM_DUMP_START_080,0x1B50,COMM,NOMINAL,Start virtual-channel data dump (variant 80),1.0
CMD_COMM_DUMP_STOP_080,0x1B51,COMM,CRITICAL,Stop virtual-channel data dump (variant 80),1.0
CMD_CDH_BOOT_WARM_080,0x1B52,CDH,NOMINAL,Warm reboot of flight processor (variant 80),1.0
CMD_CDH_BOOT_COLD_080,0x1B53,CDH,NOMINAL,Cold reboot of flight processor (variant 80),1.0
CMD_CDH_TIME_SYNC_080,0x1B54,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 80),1.0
CMD_CDH_FILE_DELETE_080,0x1B55,CDH,NOMINAL,Delete onboard file by path (variant 80),1.0
CMD_CDH_MEM_DUMP_080,0x1B56,CDH,NOMINAL,Dump memory region (variant 80),1.0
CMD_CDH_MEM_PATCH_080,0x1B57,CDH,NOMINAL,Patch memory region (variant 80),1.0
CMD_THERMAL_HTR_ON_080,0x1B58,THERMAL,NOMINAL,Turn on heater zone (variant 80),1.0
CMD_THERMAL_HTR_OFF_080,0x1B59,THERMAL,NOMINAL,Turn off heater zone (variant 80),1.0
CMD_THERMAL_HTR_AUTO_080,0x1B5A,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 80),1.0
CMD_PAYLOAD_IMG_CAPTURE_080,0x1B5B,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 80),1.0
CMD_PAYLOAD_IMG_ABORT_080,0x1B5C,PAYLOAD,HAZARDOUS,Abort current image capture (variant 80),1.0
CMD_PAYLOAD_INST_ON_080,0x1B5D,PAYLOAD,NOMINAL,Power on instrument (variant 80),1.0
CMD_PAYLOAD_INST_OFF_080,0x1B5E,PAYLOAD,NOMINAL,Power off instrument (variant 80),1.0
CMD_PAYLOAD_INST_CAL_080,0x1B5F,PAYLOAD,NOMINAL,Run instrument calibration (variant 80),1.0
CMD_PROP_VALVE_OPEN_080,0x1B60,PROP,NOMINAL,Open propulsion valve (variant 80),1.0
CMD_PROP_VALVE_CLOSE_080,0x1B61,PROP,NOMINAL,Close propulsion valve (variant 80),1.0
CMD_PROP_BURN_EXEC_080,0x1B62,PROP,NOMINAL,Execute commanded delta-v burn (variant 80),1.0
CMD_PROP_BURN_ABORT_080,0x1B63,PROP,NOMINAL,Abort active propulsive maneuver (variant 80),1.0
CMD_EPS_PWR_ON_081,0x1B64,EPS,NOMINAL,Enable power channel in specified mode (variant 81),1.0
CMD_EPS_PWR_OFF_081,0x1B65,EPS,HAZARDOUS,Disable power channel (variant 81),1.0
CMD_EPS_BATT_TRICKLE_081,0x1B66,EPS,NOMINAL,Set battery trickle charge rate (variant 81),1.0
CMD_EPS_BATT_RESET_081,0x1B67,EPS,NOMINAL,Reset battery management controller (variant 81),1.0
CMD_EPS_SOLAR_DEPLOY_081,0x1B68,EPS,NOMINAL,Deploy solar array (variant 81),1.0
CMD_EPS_SOLAR_STOW_081,0x1B69,EPS,CRITICAL,Stow solar array (variant 81),1.0
CMD_ADCS_MODE_SET_081,0x1B6A,ADCS,NOMINAL,Set ADCS control mode (variant 81),1.0
CMD_ADCS_MODE_SAFE_081,0x1B6B,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 81),1.0
CMD_ADCS_RW_SPIN_081,0x1B6C,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 81),1.0
CMD_ADCS_RW_STOP_081,0x1B6D,ADCS,CRITICAL,Stop reaction wheel (variant 81),1.0
CMD_ADCS_MTQ_FIRE_081,0x1B6E,ADCS,NOMINAL,Fire magnetorquer along axis (variant 81),1.0
CMD_ADCS_STAR_TRACK_081,0x1B6F,ADCS,HAZARDOUS,Begin star tracker tracking (variant 81),1.0
CMD_ADCS_ATT_SLEW_081,0x1B70,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 81),1.0
CMD_COMM_TX_ENABLE_081,0x1B71,COMM,CRITICAL,Enable transmitter on band (variant 81),1.0
CMD_COMM_TX_DISABLE_081,0x1B72,COMM,NOMINAL,Disable transmitter on band (variant 81),1.0
CMD_COMM_TX_POWER_081,0x1B73,COMM,CRITICAL,Set transmitter output power (variant 81),1.0
CMD_COMM_DUMP_START_081,0x1B74,COMM,NOMINAL,Start virtual-channel data dump (variant 81),1.0
CMD_COMM_DUMP_STOP_081,0x1B75,COMM,CRITICAL,Stop virtual-channel data dump (variant 81),1.0
CMD_CDH_BOOT_WARM_081,0x1B76,CDH,NOMINAL,Warm reboot of flight processor (variant 81),1.0
CMD_CDH_BOOT_COLD_081,0x1B77,CDH,NOMINAL,Cold reboot of flight processor (variant 81),1.0
CMD_CDH_TIME_SYNC_081,0x1B78,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 81),1.0
CMD_CDH_FILE_DELETE_081,0x1B79,CDH,NOMINAL,Delete onboard file by path (variant 81),1.0
CMD_CDH_MEM_DUMP_081,0x1B7A,CDH,NOMINAL,Dump memory region (variant 81),1.0
CMD_CDH_MEM_PATCH_081,0x1B7B,CDH,NOMINAL,Patch memory region (variant 81),1.0
CMD_THERMAL_HTR_ON_081,0x1B7C,THERMAL,NOMINAL,Turn on heater zone (variant 81),1.0
CMD_THERMAL_HTR_OFF_081,0x1B7D,THERMAL,NOMINAL,Turn off heater zone (variant 81),1.0
CMD_THERMAL_HTR_AUTO_081,0x1B7E,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 81),1.0
CMD_PAYLOAD_IMG_CAPTURE_081,0x1B7F,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 81),1.0
CMD_PAYLOAD_IMG_ABORT_081,0x1B80,PAYLOAD,HAZARDOUS,Abort current image capture (variant 81),1.0
CMD_PAYLOAD_INST_ON_081,0x1B81,PAYLOAD,NOMINAL,Power on instrument (variant 81),1.0
CMD_PAYLOAD_INST_OFF_081,0x1B82,PAYLOAD,NOMINAL,Power off instrument (variant 81),1.0
CMD_PAYLOAD_INST_CAL_081,0x1B83,PAYLOAD,NOMINAL,Run instrument calibration (variant 81),1.0
CMD_PROP_VALVE_OPEN_081,0x1B84,PROP,NOMINAL,Open propulsion valve (variant 81),1.0
CMD_PROP_VALVE_CLOSE_081,0x1B85,PROP,NOMINAL,Close propulsion valve (variant 81),1.0
CMD_PROP_BURN_EXEC_081,0x1B86,PROP,NOMINAL,Execute commanded delta-v burn (variant 81),1.0
CMD_PROP_BURN_ABORT_081,0x1B87,PROP,NOMINAL,Abort active propulsive maneuver (variant 81),1.0
CMD_EPS_PWR_ON_082,0x1B88,EPS,NOMINAL,Enable power channel in specified mode (variant 82),1.0
CMD_EPS_PWR_OFF_082,0x1B89,EPS,HAZARDOUS,Disable power channel (variant 82),1.0
CMD_EPS_BATT_TRICKLE_082,0x1B8A,EPS,NOMINAL,Set battery trickle charge rate (variant 82),1.0
CMD_EPS_BATT_RESET_082,0x1B8B,EPS,NOMINAL,Reset battery management controller (variant 82),1.0
CMD_EPS_SOLAR_DEPLOY_082,0x1B8C,EPS,NOMINAL,Deploy solar array (variant 82),1.0
CMD_EPS_SOLAR_STOW_082,0x1B8D,EPS,CRITICAL,Stow solar array (variant 82),1.0
CMD_ADCS_MODE_SET_082,0x1B8E,ADCS,NOMINAL,Set ADCS control mode (variant 82),1.0
CMD_ADCS_MODE_SAFE_082,0x1B8F,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 82),1.0
CMD_ADCS_RW_SPIN_082,0x1B90,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 82),1.0
CMD_ADCS_RW_STOP_082,0x1B91,ADCS,CRITICAL,Stop reaction wheel (variant 82),1.0
CMD_ADCS_MTQ_FIRE_082,0x1B92,ADCS,NOMINAL,Fire magnetorquer along axis (variant 82),1.0
CMD_ADCS_STAR_TRACK_082,0x1B93,ADCS,HAZARDOUS,Begin star tracker tracking (variant 82),1.0
CMD_ADCS_ATT_SLEW_082,0x1B94,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 82),1.0
CMD_COMM_TX_ENABLE_082,0x1B95,COMM,CRITICAL,Enable transmitter on band (variant 82),1.0
CMD_COMM_TX_DISABLE_082,0x1B96,COMM,NOMINAL,Disable transmitter on band (variant 82),1.0
CMD_COMM_TX_POWER_082,0x1B97,COMM,CRITICAL,Set transmitter output power (variant 82),1.0
CMD_COMM_DUMP_START_082,0x1B98,COMM,NOMINAL,Start virtual-channel data dump (variant 82),1.0
CMD_COMM_DUMP_STOP_082,0x1B99,COMM,CRITICAL,Stop virtual-channel data dump (variant 82),1.0
CMD_CDH_BOOT_WARM_082,0x1B9A,CDH,NOMINAL,Warm reboot of flight processor (variant 82),1.0
CMD_CDH_BOOT_COLD_082,0x1B9B,CDH,NOMINAL,Cold reboot of flight processor (variant 82),1.0
CMD_CDH_TIME_SYNC_082,0x1B9C,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 82),1.0
CMD_CDH_FILE_DELETE_082,0x1B9D,CDH,NOMINAL,Delete onboard file by path (variant 82),1.0
CMD_CDH_MEM_DUMP_082,0x1B9E,CDH,NOMINAL,Dump memory region (variant 82),1.0
CMD_CDH_MEM_PATCH_082,0x1B9F,CDH,NOMINAL,Patch memory region (variant 82),1.0
CMD_THERMAL_HTR_ON_082,0x1BA0,THERMAL,NOMINAL,Turn on heater zone (variant 82),1.0
CMD_THERMAL_HTR_OFF_082,0x1BA1,THERMAL,NOMINAL,Turn off heater zone (variant 82),1.0
CMD_THERMAL_HTR_AUTO_082,0x1BA2,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 82),1.0
CMD_PAYLOAD_IMG_CAPTURE_082,0x1BA3,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 82),1.0
CMD_PAYLOAD_IMG_ABORT_082,0x1BA4,PAYLOAD,HAZARDOUS,Abort current image capture (variant 82),1.0
CMD_PAYLOAD_INST_ON_082,0x1BA5,PAYLOAD,NOMINAL,Power on instrument (variant 82),1.0
CMD_PAYLOAD_INST_OFF_082,0x1BA6,PAYLOAD,NOMINAL,Power off instrument (variant 82),1.0
CMD_PAYLOAD_INST_CAL_082,0x1BA7,PAYLOAD,NOMINAL,Run instrument calibration (variant 82),1.0
CMD_PROP_VALVE_OPEN_082,0x1BA8,PROP,NOMINAL,Open propulsion valve (variant 82),1.0
CMD_PROP_VALVE_CLOSE_082,0x1BA9,PROP,NOMINAL,Close propulsion valve (variant 82),1.0
CMD_PROP_BURN_EXEC_082,0x1BAA,PROP,NOMINAL,Execute commanded delta-v burn (variant 82),1.0
CMD_PROP_BURN_ABORT_082,0x1BAB,PROP,NOMINAL,Abort active propulsive maneuver (variant 82),1.0
CMD_EPS_PWR_ON_083,0x1BAC,EPS,NOMINAL,Enable power channel in specified mode (variant 83),1.0
CMD_EPS_PWR_OFF_083,0x1BAD,EPS,HAZARDOUS,Disable power channel (variant 83),1.0
CMD_EPS_BATT_TRICKLE_083,0x1BAE,EPS,NOMINAL,Set battery trickle charge rate (variant 83),1.0
CMD_EPS_BATT_RESET_083,0x1BAF,EPS,NOMINAL,Reset battery management controller (variant 83),1.0
CMD_EPS_SOLAR_DEPLOY_083,0x1BB0,EPS,NOMINAL,Deploy solar array (variant 83),1.0
CMD_EPS_SOLAR_STOW_083,0x1BB1,EPS,CRITICAL,Stow solar array (variant 83),1.0
CMD_ADCS_MODE_SET_083,0x1BB2,ADCS,NOMINAL,Set ADCS control mode (variant 83),1.0
CMD_ADCS_MODE_SAFE_083,0x1BB3,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 83),1.0
CMD_ADCS_RW_SPIN_083,0x1BB4,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 83),1.0
CMD_ADCS_RW_STOP_083,0x1BB5,ADCS,CRITICAL,Stop reaction wheel (variant 83),1.0
CMD_ADCS_MTQ_FIRE_083,0x1BB6,ADCS,NOMINAL,Fire magnetorquer along axis (variant 83),1.0
CMD_ADCS_STAR_TRACK_083,0x1BB7,ADCS,HAZARDOUS,Begin star tracker tracking (variant 83),1.0
CMD_ADCS_ATT_SLEW_083,0x1BB8,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 83),1.0
CMD_COMM_TX_ENABLE_083,0x1BB9,COMM,CRITICAL,Enable transmitter on band (variant 83),1.0
CMD_COMM_TX_DISABLE_083,0x1BBA,COMM,NOMINAL,Disable transmitter on band (variant 83),1.0
CMD_COMM_TX_POWER_083,0x1BBB,COMM,CRITICAL,Set transmitter output power (variant 83),1.0
CMD_COMM_DUMP_START_083,0x1BBC,COMM,NOMINAL,Start virtual-channel data dump (variant 83),1.0
CMD_COMM_DUMP_STOP_083,0x1BBD,COMM,CRITICAL,Stop virtual-channel data dump (variant 83),1.0
CMD_CDH_BOOT_WARM_083,0x1BBE,CDH,NOMINAL,Warm reboot of flight processor (variant 83),1.0
CMD_CDH_BOOT_COLD_083,0x1BBF,CDH,NOMINAL,Cold reboot of flight processor (variant 83),1.0
CMD_CDH_TIME_SYNC_083,0x1BC0,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 83),1.0
CMD_CDH_FILE_DELETE_083,0x1BC1,CDH,NOMINAL,Delete onboard file by path (variant 83),1.0
CMD_CDH_MEM_DUMP_083,0x1BC2,CDH,NOMINAL,Dump memory region (variant 83),1.0
CMD_CDH_MEM_PATCH_083,0x1BC3,CDH,NOMINAL,Patch memory region (variant 83),1.0
CMD_THERMAL_HTR_ON_083,0x1BC4,THERMAL,NOMINAL,Turn on heater zone (variant 83),1.0
CMD_THERMAL_HTR_OFF_083,0x1BC5,THERMAL,NOMINAL,Turn off heater zone (variant 83),1.0
CMD_THERMAL_HTR_AUTO_083,0x1BC6,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 83),1.0
CMD_PAYLOAD_IMG_CAPTURE_083,0x1BC7,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 83),1.0
CMD_PAYLOAD_IMG_ABORT_083,0x1BC8,PAYLOAD,HAZARDOUS,Abort current image capture (variant 83),1.0
CMD_PAYLOAD_INST_ON_083,0x1BC9,PAYLOAD,NOMINAL,Power on instrument (variant 83),1.0
CMD_PAYLOAD_INST_OFF_083,0x1BCA,PAYLOAD,NOMINAL,Power off instrument (variant 83),1.0
CMD_PAYLOAD_INST_CAL_083,0x1BCB,PAYLOAD,NOMINAL,Run instrument calibration (variant 83),1.0
CMD_PROP_VALVE_OPEN_083,0x1BCC,PROP,NOMINAL,Open propulsion valve (variant 83),1.0
CMD_PROP_VALVE_CLOSE_083,0x1BCD,PROP,NOMINAL,Close propulsion valve (variant 83),1.0
CMD_PROP_BURN_EXEC_083,0x1BCE,PROP,NOMINAL,Execute commanded delta-v burn (variant 83),1.0
CMD_PROP_BURN_ABORT_083,0x1BCF,PROP,NOMINAL,Abort active propulsive maneuver (variant 83),1.0
CMD_EPS_PWR_ON_084,0x1BD0,EPS,NOMINAL,Enable power channel in specified mode (variant 84),1.0
CMD_EPS_PWR_OFF_084,0x1BD1,EPS,HAZARDOUS,Disable power channel (variant 84),1.0
CMD_EPS_BATT_TRICKLE_084,0x1BD2,EPS,NOMINAL,Set battery trickle charge rate (variant 84),1.0
CMD_EPS_BATT_RESET_084,0x1BD3,EPS,NOMINAL,Reset battery management controller (variant 84),1.0
CMD_EPS_SOLAR_DEPLOY_084,0x1BD4,EPS,NOMINAL,Deploy solar array (variant 84),1.0
CMD_EPS_SOLAR_STOW_084,0x1BD5,EPS,CRITICAL,Stow solar array (variant 84),1.0
CMD_ADCS_MODE_SET_084,0x1BD6,ADCS,NOMINAL,Set ADCS control mode (variant 84),1.0
CMD_ADCS_MODE_SAFE_084,0x1BD7,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 84),1.0
CMD_ADCS_RW_SPIN_084,0x1BD8,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 84),1.0
CMD_ADCS_RW_STOP_084,0x1BD9,ADCS,CRITICAL,Stop reaction wheel (variant 84),1.0
CMD_ADCS_MTQ_FIRE_084,0x1BDA,ADCS,NOMINAL,Fire magnetorquer along axis (variant 84),1.0
CMD_ADCS_STAR_TRACK_084,0x1BDB,ADCS,HAZARDOUS,Begin star tracker tracking (variant 84),1.0
CMD_ADCS_ATT_SLEW_084,0x1BDC,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 84),1.0
CMD_COMM_TX_ENABLE_084,0x1BDD,COMM,CRITICAL,Enable transmitter on band (variant 84),1.0
CMD_COMM_TX_DISABLE_084,0x1BDE,COMM,NOMINAL,Disable transmitter on band (variant 84),1.0
CMD_COMM_TX_POWER_084,0x1BDF,COMM,CRITICAL,Set transmitter output power (variant 84),1.0
CMD_COMM_DUMP_START_084,0x1BE0,COMM,NOMINAL,Start virtual-channel data dump (variant 84),1.0
CMD_COMM_DUMP_STOP_084,0x1BE1,COMM,CRITICAL,Stop virtual-channel data dump (variant 84),1.0
CMD_CDH_BOOT_WARM_084,0x1BE2,CDH,NOMINAL,Warm reboot of flight processor (variant 84),1.0
CMD_CDH_BOOT_COLD_084,0x1BE3,CDH,NOMINAL,Cold reboot of flight processor (variant 84),1.0
CMD_CDH_TIME_SYNC_084,0x1BE4,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 84),1.0
CMD_CDH_FILE_DELETE_084,0x1BE5,CDH,NOMINAL,Delete onboard file by path (variant 84),1.0
CMD_CDH_MEM_DUMP_084,0x1BE6,CDH,NOMINAL,Dump memory region (variant 84),1.0
CMD_CDH_MEM_PATCH_084,0x1BE7,CDH,NOMINAL,Patch memory region (variant 84),1.0
CMD_THERMAL_HTR_ON_084,0x1BE8,THERMAL,NOMINAL,Turn on heater zone (variant 84),1.0
CMD_THERMAL_HTR_OFF_084,0x1BE9,THERMAL,NOMINAL,Turn off heater zone (variant 84),1.0
CMD_THERMAL_HTR_AUTO_084,0x1BEA,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 84),1.0
CMD_PAYLOAD_IMG_CAPTURE_084,0x1BEB,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 84),1.0
CMD_PAYLOAD_IMG_ABORT_084,0x1BEC,PAYLOAD,HAZARDOUS,Abort current image capture (variant 84),1.0
CMD_PAYLOAD_INST_ON_084,0x1BED,PAYLOAD,NOMINAL,Power on instrument (variant 84),1.0
CMD_PAYLOAD_INST_OFF_084,0x1BEE,PAYLOAD,NOMINAL,Power off instrument (variant 84),1.0
CMD_PAYLOAD_INST_CAL_084,0x1BEF,PAYLOAD,NOMINAL,Run instrument calibration (variant 84),1.0
CMD_PROP_VALVE_OPEN_084,0x1BF0,PROP,NOMINAL,Open propulsion valve (variant 84),1.0
CMD_PROP_VALVE_CLOSE_084,0x1BF1,PROP,NOMINAL,Close propulsion valve (variant 84),1.0
CMD_PROP_BURN_EXEC_084,0x1BF2,PROP,NOMINAL,Execute commanded delta-v burn (variant 84),1.0
CMD_PROP_BURN_ABORT_084,0x1BF3,PROP,NOMINAL,Abort active propulsive maneuver (variant 84),1.0
CMD_EPS_PWR_ON_085,0x1BF4,EPS,NOMINAL,Enable power channel in specified mode (variant 85),1.0
CMD_EPS_PWR_OFF_085,0x1BF5,EPS,HAZARDOUS,Disable power channel (variant 85),1.0
CMD_EPS_BATT_TRICKLE_085,0x1BF6,EPS,NOMINAL,Set battery trickle charge rate (variant 85),1.0
CMD_EPS_BATT_RESET_085,0x1BF7,EPS,NOMINAL,Reset battery management controller (variant 85),1.0
CMD_EPS_SOLAR_DEPLOY_085,0x1BF8,EPS,NOMINAL,Deploy solar array (variant 85),1.0
CMD_EPS_SOLAR_STOW_085,0x1BF9,EPS,CRITICAL,Stow solar array (variant 85),1.0
CMD_ADCS_MODE_SET_085,0x1BFA,ADCS,NOMINAL,Set ADCS control mode (variant 85),1.0
CMD_ADCS_MODE_SAFE_085,0x1BFB,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 85),1.0
CMD_ADCS_RW_SPIN_085,0x1BFC,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 85),1.0
CMD_ADCS_RW_STOP_085,0x1BFD,ADCS,CRITICAL,Stop reaction wheel (variant 85),1.0
CMD_ADCS_MTQ_FIRE_085,0x1BFE,ADCS,NOMINAL,Fire magnetorquer along axis (variant 85),1.0
CMD_ADCS_STAR_TRACK_085,0x1BFF,ADCS,HAZARDOUS,Begin star tracker tracking (variant 85),1.0
CMD_ADCS_ATT_SLEW_085,0x1C00,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 85),1.0
CMD_COMM_TX_ENABLE_085,0x1C01,COMM,CRITICAL,Enable transmitter on band (variant 85),1.0
CMD_COMM_TX_DISABLE_085,0x1C02,COMM,NOMINAL,Disable transmitter on band (variant 85),1.0
CMD_COMM_TX_POWER_085,0x1C03,COMM,CRITICAL,Set transmitter output power (variant 85),1.0
CMD_COMM_DUMP_START_085,0x1C04,COMM,NOMINAL,Start virtual-channel data dump (variant 85),1.0
CMD_COMM_DUMP_STOP_085,0x1C05,COMM,CRITICAL,Stop virtual-channel data dump (variant 85),1.0
CMD_CDH_BOOT_WARM_085,0x1C06,CDH,NOMINAL,Warm reboot of flight processor (variant 85),1.0
CMD_CDH_BOOT_COLD_085,0x1C07,CDH,NOMINAL,Cold reboot of flight processor (variant 85),1.0
CMD_CDH_TIME_SYNC_085,0x1C08,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 85),1.0
CMD_CDH_FILE_DELETE_085,0x1C09,CDH,NOMINAL,Delete onboard file by path (variant 85),1.0
CMD_CDH_MEM_DUMP_085,0x1C0A,CDH,NOMINAL,Dump memory region (variant 85),1.0
CMD_CDH_MEM_PATCH_085,0x1C0B,CDH,NOMINAL,Patch memory region (variant 85),1.0
CMD_THERMAL_HTR_ON_085,0x1C0C,THERMAL,NOMINAL,Turn on heater zone (variant 85),1.0
CMD_THERMAL_HTR_OFF_085,0x1C0D,THERMAL,NOMINAL,Turn off heater zone (variant 85),1.0
CMD_THERMAL_HTR_AUTO_085,0x1C0E,THERMAL,HAZARDOUS,Place heater zone in autonomous control (variant 85),1.0
CMD_PAYLOAD_IMG_CAPTURE_085,0x1C0F,PAYLOAD,NOMINAL,Capture image with integration time and filter (variant 85),1.0
CMD_PAYLOAD_IMG_ABORT_085,0x1C10,PAYLOAD,HAZARDOUS,Abort current image capture (variant 85),1.0
CMD_PAYLOAD_INST_ON_085,0x1C11,PAYLOAD,NOMINAL,Power on instrument (variant 85),1.0
CMD_PAYLOAD_INST_OFF_085,0x1C12,PAYLOAD,NOMINAL,Power off instrument (variant 85),1.0
CMD_PAYLOAD_INST_CAL_085,0x1C13,PAYLOAD,NOMINAL,Run instrument calibration (variant 85),1.0
CMD_PROP_VALVE_OPEN_085,0x1C14,PROP,NOMINAL,Open propulsion valve (variant 85),1.0
CMD_PROP_VALVE_CLOSE_085,0x1C15,PROP,NOMINAL,Close propulsion valve (variant 85),1.0
CMD_PROP_BURN_EXEC_085,0x1C16,PROP,NOMINAL,Execute commanded delta-v burn (variant 85),1.0
CMD_PROP_BURN_ABORT_085,0x1C17,PROP,NOMINAL,Abort active propulsive maneuver (variant 85),1.0
CMD_EPS_PWR_ON_086,0x1C18,EPS,NOMINAL,Enable power channel in specified mode (variant 86),1.0
CMD_EPS_PWR_OFF_086,0x1C19,EPS,HAZARDOUS,Disable power channel (variant 86),1.0
CMD_EPS_BATT_TRICKLE_086,0x1C1A,EPS,NOMINAL,Set battery trickle charge rate (variant 86),1.0
CMD_EPS_BATT_RESET_086,0x1C1B,EPS,NOMINAL,Reset battery management controller (variant 86),1.0
CMD_EPS_SOLAR_DEPLOY_086,0x1C1C,EPS,NOMINAL,Deploy solar array (variant 86),1.0
CMD_EPS_SOLAR_STOW_086,0x1C1D,EPS,CRITICAL,Stow solar array (variant 86),1.0
CMD_ADCS_MODE_SET_086,0x1C1E,ADCS,NOMINAL,Set ADCS control mode (variant 86),1.0
CMD_ADCS_MODE_SAFE_086,0x1C1F,ADCS,NOMINAL,Command ADCS into SAFE mode (variant 86),1.0
CMD_ADCS_RW_SPIN_086,0x1C20,ADCS,HAZARDOUS,Spin reaction wheel to commanded RPM (variant 86),1.0
CMD_ADCS_RW_STOP_086,0x1C21,ADCS,CRITICAL,Stop reaction wheel (variant 86),1.0
CMD_ADCS_MTQ_FIRE_086,0x1C22,ADCS,NOMINAL,Fire magnetorquer along axis (variant 86),1.0
CMD_ADCS_STAR_TRACK_086,0x1C23,ADCS,HAZARDOUS,Begin star tracker tracking (variant 86),1.0
CMD_ADCS_ATT_SLEW_086,0x1C24,ADCS,NOMINAL,Slew to commanded inertial attitude quaternion (variant 86),1.0
CMD_COMM_TX_ENABLE_086,0x1C25,COMM,CRITICAL,Enable transmitter on band (variant 86),1.0
CMD_COMM_TX_DISABLE_086,0x1C26,COMM,NOMINAL,Disable transmitter on band (variant 86),1.0
CMD_COMM_TX_POWER_086,0x1C27,COMM,CRITICAL,Set transmitter output power (variant 86),1.0
CMD_COMM_DUMP_START_086,0x1C28,COMM,NOMINAL,Start virtual-channel data dump (variant 86),1.0
CMD_COMM_DUMP_STOP_086,0x1C29,COMM,CRITICAL,Stop virtual-channel data dump (variant 86),1.0
CMD_CDH_BOOT_WARM_086,0x1C2A,CDH,NOMINAL,Warm reboot of flight processor (variant 86),1.0
CMD_CDH_BOOT_COLD_086,0x1C2B,CDH,NOMINAL,Cold reboot of flight processor (variant 86),1.0
CMD_CDH_TIME_SYNC_086,0x1C2C,CDH,NOMINAL,Sync onboard clock to ground epoch (variant 86),1.0
CMD_CDH_FILE_DELETE_086,0x1C2D,CDH,NOMINAL,Delete onboard file by path (variant 86),1.0
